Infinitive,развева́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,развева́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,развева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,развева́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,развева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,развева́юсь
2nd Sing,развева́ешься
3rd Sing,развева́ется
1st Pl,развева́емся
2nd Pl,развева́етесь
3rd Pl,развева́ются
Past M,развева́лся
Past F,развева́лась
Past N,развева́лось
Past PL,развева́лись
Imp S,развева́йся
Imp PL,развева́йтесь
