Infinitive,разре́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разре́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разре́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разре́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разре́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разре́жу
2nd Sing,разре́жешь
3rd Sing,разре́жет
1st Pl,разре́жем
2nd Pl,разре́жете
3rd Pl,разре́жут
Past M,разре́зал
Past F,разре́зала
Past N,разре́зало
Past PL,разре́зали
Imp S,разре́жь
Imp PL,разре́жьте
