Infinitive,разбуди́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разбуди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбу́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разбуди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разбуди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разбужу́
2nd Sing,разбу́дишь
3rd Sing,разбу́дит
1st Pl,разбу́дим
2nd Pl,разбу́дите
3rd Pl,разбу́дят
Past M,разбуди́л
Past F,разбуди́ла
Past N,разбуди́ло
Past PL,разбуди́ли
Imp S,разбуди́
Imp PL,разбуди́те
