Infinitive,разду́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разду́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разду́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разду́юсь
2nd Sing,разду́ешься
3rd Sing,разду́ется
1st Pl,разду́емся
2nd Pl,разду́етесь
3rd Pl,разду́ются
Past M,разду́лся
Past F,разду́лась
Past N,разду́лось
Past PL,разду́лись
Imp S,разду́йся
Imp PL,разду́йтесь
