Infinitive,распла́каться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распла́кавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распла́кавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распла́чусь
2nd Sing,распла́чешься
3rd Sing,распла́чется
1st Pl,распла́чемся
2nd Pl,распла́четесь
3rd Pl,распла́чутся
Past M,распла́кался
Past F,распла́калась
Past N,распла́калось
Past PL,распла́кались
Imp S,распла́чься
Imp PL,распла́чьтесь
