Infinitive,разогну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разогну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разогну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разогну́сь
2nd Sing,разогнёшься
3rd Sing,разогнётся
1st Pl,разогнёмся
2nd Pl,разогнётесь
3rd Pl,разогну́тся
Past M,разогну́лся
Past F,разогну́лась
Past N,разогну́лось
Past PL,разогну́лись
Imp S,разогни́сь
Imp PL,разогни́тесь
