Infinitive,расспроси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расспроси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расспро́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расспроси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расспроси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расспрошу́
2nd Sing,расспро́сишь
3rd Sing,расспро́сит
1st Pl,расспро́сим
2nd Pl,расспро́сите
3rd Pl,расспро́сят
Past M,расспроси́л
Past F,расспроси́ла
Past N,расспроси́ло
Past PL,расспроси́ли
Imp S,расспроси́
Imp PL,расспроси́те
