Infinitive,распусти́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распусти́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распусти́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распущу́сь
2nd Sing,распу́стишься
3rd Sing,распу́стится
1st Pl,распу́стимся
2nd Pl,распу́ститесь
3rd Pl,распу́стятся
Past M,распусти́лся
Past F,распусти́лась
Past N,распусти́лось
Past PL,распусти́лись
Imp S,распусти́сь
Imp PL,распусти́тесь
