Infinitive,разва́ливаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разва́ливающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разва́ливавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разва́ливаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разва́ливавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разва́ливаюсь
2nd Sing,разва́ливаешься
3rd Sing,разва́ливается
1st Pl,разва́ливаемся
2nd Pl,разва́ливаетесь
3rd Pl,разва́ливаются
Past M,разва́ливался
Past F,разва́ливалась
Past N,разва́ливалось
Past PL,разва́ливались
Imp S,разва́ливайся
Imp PL,разва́ливайтесь
