Infinitive,распуска́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распуска́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,распуска́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распуска́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,распуска́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распуска́юсь
2nd Sing,распуска́ешься
3rd Sing,распуска́ется
1st Pl,распуска́емся
2nd Pl,распуска́етесь
3rd Pl,распуска́ются
Past M,распуска́лся
Past F,распуска́лась
Past N,распуска́лось
Past PL,распуска́лись
Imp S,распуска́йся
Imp PL,распуска́йтесь
