Infinitive,распределя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распределя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,распределя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распределя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,распределя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распределя́юсь
2nd Sing,распределя́ешься
3rd Sing,распределя́ется
1st Pl,распределя́емся
2nd Pl,распределя́етесь
3rd Pl,распределя́ются
Past M,распределя́лся
Past F,распределя́лась
Past N,распределя́лось
Past PL,распределя́лись
Imp S,распределя́йся
Imp PL,распределя́йтесь
