Infinitive,расплы́ться
Zaliznyak Class,16b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расплы́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расплы́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,расплыву́сь
2nd Sing,расплывёшься
3rd Sing,расплывётся
1st Pl,расплывёмся
2nd Pl,расплывётесь
3rd Pl,расплыву́тся
Past M,расплы́лся
Past F,расплыла́сь
Past N,расплыло́сь
Past PL,расплыли́сь
Imp S,расплыви́сь
Imp PL,расплыви́тесь
