Infinitive,расслы́шать
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расслы́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расслы́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расслы́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расслы́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расслы́шу
2nd Sing,расслы́шишь
3rd Sing,расслы́шит
1st Pl,расслы́шим
2nd Pl,расслы́шите
3rd Pl,расслы́шат
Past M,расслы́шал
Past F,расслы́шала
Past N,расслы́шало
Past PL,расслы́шали
Imp S,—
Imp PL,—
