Infinitive,раскры́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раскры́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раскры́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раскры́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раскры́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раскро́ю
2nd Sing,раскро́ешь
3rd Sing,раскро́ет
1st Pl,раскро́ем
2nd Pl,раскро́ете
3rd Pl,раскро́ют
Past M,раскры́л
Past F,раскры́ла
Past N,раскры́ло
Past PL,раскры́ли
Imp S,раскро́й
Imp PL,раскро́йте
