Infinitive,разгорячи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разгорячи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгорячённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разгорячи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разгорячи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разгорячу́
2nd Sing,разгорячи́шь
3rd Sing,разгорячи́т
1st Pl,разгорячи́м
2nd Pl,разгорячи́те
3rd Pl,разгоряча́т
Past M,разгорячи́л
Past F,разгорячи́ла
Past N,разгорячи́ло
Past PL,разгорячи́ли
Imp S,разгорячи́
Imp PL,разгорячи́те
