Infinitive,раски́снуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,раски́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раски́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,раски́сну
2nd Sing,раски́снешь
3rd Sing,раски́снет
1st Pl,раски́снем
2nd Pl,раски́снете
3rd Pl,раски́снут
Past M,раски́с
Past F,раски́сла
Past N,раски́сло
Past PL,раски́сли
Imp S,раски́сни
Imp PL,раски́сните
