Infinitive,размя́кнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,размя́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,размя́кши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,размя́кну
2nd Sing,размя́кнешь
3rd Sing,размя́кнет
1st Pl,размя́кнем
2nd Pl,размя́кнете
3rd Pl,размя́кнут
Past M,размя́к
Past F,размя́кла
Past N,размя́кло
Past PL,размя́кли
Imp S,размя́кни
Imp PL,размя́кните
