Infinitive,разве́дать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разве́давший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разве́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разве́дав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разве́давши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разве́даю
2nd Sing,разве́даешь
3rd Sing,разве́дает
1st Pl,разве́даем
2nd Pl,разве́даете
3rd Pl,разве́дают
Past M,разве́дал
Past F,разве́дала
Past N,разве́дало
Past PL,разве́дали
Imp S,разве́дай
Imp PL,разве́дайте
