Infinitive,распахну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распахну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распа́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распахну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распахну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распахну́
2nd Sing,распахнёшь
3rd Sing,распахнёт
1st Pl,распахнём
2nd Pl,распахнёте
3rd Pl,распахну́т
Past M,распахну́л
Past F,распахну́ла
Past N,распахну́ло
Past PL,распахну́ли
Imp S,распахни́
Imp PL,распахни́те
