Infinitive,раздразни́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раздразни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздразнённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздразни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раздразни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздразню́
2nd Sing,раздра́знишь
3rd Sing,раздра́знит
1st Pl,раздра́зним
2nd Pl,раздра́зните
3rd Pl,раздра́знят
Past M,раздразни́л
Past F,раздразни́ла
Past N,раздразни́ло
Past PL,раздразни́ли
Imp S,раздразни́
Imp PL,раздразни́те
