Infinitive,разруга́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разруга́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разруга́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разруга́юсь
2nd Sing,разруга́ешься
3rd Sing,разруга́ется
1st Pl,разруга́емся
2nd Pl,разруга́етесь
3rd Pl,разруга́ются
Past M,разруга́лся
Past F,разруга́лась
Past N,разруга́лось
Past PL,разруга́лись
Imp S,разруга́йся
Imp PL,разруга́йтесь
