Infinitive,рассчита́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рассчита́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассчита́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,рассчита́юсь
2nd Sing,рассчита́ешься
3rd Sing,рассчита́ется
1st Pl,рассчита́емся
2nd Pl,рассчита́етесь
3rd Pl,рассчита́ются
Past M,рассчита́лся
Past F,рассчита́лась
Past N,рассчита́лось
Past PL,рассчита́лись
Imp S,рассчита́йся
Imp PL,рассчита́йтесь
