Infinitive,раздева́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раздева́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздева́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздева́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раздева́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздева́юсь
2nd Sing,раздева́ешься
3rd Sing,раздева́ется
1st Pl,раздева́емся
2nd Pl,раздева́етесь
3rd Pl,раздева́ются
Past M,раздева́лся
Past F,раздева́лась
Past N,раздева́лось
Past PL,раздева́лись
Imp S,раздева́йся
Imp PL,раздева́йтесь
