Infinitive,распрямля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распрямля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,распрямля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распрямля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,распрямля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распрямля́юсь
2nd Sing,распрямля́ешься
3rd Sing,распрямля́ется
1st Pl,распрямля́емся
2nd Pl,распрямля́етесь
3rd Pl,распрямля́ются
Past M,распрямля́лся
Past F,распрямля́лась
Past N,распрямля́лось
Past PL,распрямля́лись
Imp S,распрямля́йся
Imp PL,распрямля́йтесь
