Infinitive,распахну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распахну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распахну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распахну́сь
2nd Sing,распахнёшься
3rd Sing,распахнётся
1st Pl,распахнёмся
2nd Pl,распахнётесь
3rd Pl,распахну́тся
Past M,распахну́лся
Past F,распахну́лась
Past N,распахну́лось
Past PL,распахну́лись
Imp S,распахни́сь
Imp PL,распахни́тесь
