Infinitive,разгиба́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разгиба́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгиба́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разгиба́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разгиба́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разгиба́юсь
2nd Sing,разгиба́ешься
3rd Sing,разгиба́ется
1st Pl,разгиба́емся
2nd Pl,разгиба́етесь
3rd Pl,разгиба́ются
Past M,разгиба́лся
Past F,разгиба́лась
Past N,разгиба́лось
Past PL,разгиба́лись
Imp S,разгиба́йся
Imp PL,разгиба́йтесь
