Infinitive,распространя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распространя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,распространя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распространя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,распространя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распространя́юсь
2nd Sing,распространя́ешься
3rd Sing,распространя́ется
1st Pl,распространя́емся
2nd Pl,распространя́етесь
3rd Pl,распространя́ются
Past M,распространя́лся
Past F,распространя́лась
Past N,распространя́лось
Past PL,распространя́лись
Imp S,распространя́йся
Imp PL,распространя́йтесь
