Infinitive,разгуля́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разгуля́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгуля́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разгуля́юсь
2nd Sing,разгуля́ешься
3rd Sing,разгуля́ется
1st Pl,разгуля́емся
2nd Pl,разгуля́етесь
3rd Pl,разгуля́ются
Past M,разгуля́лся
Past F,разгуля́лась
Past N,разгуля́лось
Past PL,разгуля́лись
Imp S,разгуля́йся
Imp PL,разгуля́йтесь
