Infinitive,разозли́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разозли́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разозли́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разозлю́сь
2nd Sing,разозли́шься
3rd Sing,разозли́тся
1st Pl,разозли́мся
2nd Pl,разозли́тесь
3rd Pl,разозля́тся
Past M,разозли́лся
Past F,разозли́лась
Past N,разозли́лось
Past PL,разозли́лись
Imp S,разозли́сь
Imp PL,разозли́тесь
