Infinitive,разодра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разодра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разо́дранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разодра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разодра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздеру́
2nd Sing,раздерёшь
3rd Sing,раздерёт
1st Pl,раздерём
2nd Pl,раздерёте
3rd Pl,раздеру́т
Past M,разодра́л
Past F,разодрала́
Past N,разодра́ло
Past PL,разодра́ли
Imp S,раздери́
Imp PL,раздери́те
