Infinitive,раздража́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раздража́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздража́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздража́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раздража́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздража́юсь
2nd Sing,раздража́ешься
3rd Sing,раздража́ется
1st Pl,раздража́емся
2nd Pl,раздража́етесь
3rd Pl,раздража́ются
Past M,раздража́лся
Past F,раздража́лась
Past N,раздража́лось
Past PL,раздража́лись
Imp S,раздража́йся
Imp PL,раздража́йтесь
