Infinitive,рассмотре́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассмотре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассмо́тренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассмотре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,рассмотре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рассмотрю́
2nd Sing,рассмо́тришь
3rd Sing,рассмо́трит
1st Pl,рассмо́трим
2nd Pl,рассмо́трите
3rd Pl,рассмо́трят
Past M,рассмотре́л
Past F,рассмотре́ла
Past N,рассмотре́ло
Past PL,рассмотре́ли
Imp S,рассмотри́
Imp PL,рассмотри́те
