Infinitive,разукра́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разукра́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разукра́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разукра́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разукра́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разукра́шу
2nd Sing,разукра́сишь
3rd Sing,разукра́сит
1st Pl,разукра́сим
2nd Pl,разукра́сите
3rd Pl,разукра́сят
Past M,разукра́сил
Past F,разукра́сила
Past N,разукра́сило
Past PL,разукра́сили
Imp S,разукра́сь
Imp PL,разукра́сьте
