Infinitive,размягчи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,размягчи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,размягчённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,размягчи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,размягчи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,размягчу́
2nd Sing,размягчи́шь
3rd Sing,размягчи́т
1st Pl,размягчи́м
2nd Pl,размягчи́те
3rd Pl,размягча́т
Past M,размягчи́л
Past F,размягчи́ла
Past N,размягчи́ло
Past PL,размягчи́ли
Imp S,размягчи́
Imp PL,размягчи́те
