Infinitive,разлета́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разлета́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разлета́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разлета́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разлета́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разлета́юсь
2nd Sing,разлета́ешься
3rd Sing,разлета́ется
1st Pl,разлета́емся
2nd Pl,разлета́етесь
3rd Pl,разлета́ются
Past M,разлета́лся
Past F,разлета́лась
Past N,разлета́лось
Past PL,разлета́лись
Imp S,разлета́йся
Imp PL,разлета́йтесь
