Infinitive,распрями́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распрями́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распрями́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распрямлю́сь
2nd Sing,распрями́шься
3rd Sing,распрями́тся
1st Pl,распрями́мся
2nd Pl,распрями́тесь
3rd Pl,распрямя́тся
Past M,распрями́лся
Past F,распрями́лась
Past N,распрями́лось
Past PL,распрями́лись
Imp S,распрями́сь
Imp PL,распрями́тесь
