Infinitive,разгрести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разгрёбший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгребённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разгребя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разгрёбши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разгребу́
2nd Sing,разгребёшь
3rd Sing,разгребёт
1st Pl,разгребём
2nd Pl,разгребёте
3rd Pl,разгребу́т
Past M,разгрёб
Past F,разгребла́
Past N,разгребло́
Past PL,разгребли́
Imp S,разгреби́
Imp PL,разгреби́те
