Infinitive,расцвета́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,расцвета́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расцвета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расцвета́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расцвета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,расцвета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,расцвета́ю
2nd Sing,расцвета́ешь
3rd Sing,расцвета́ет
1st Pl,расцвета́ем
2nd Pl,расцвета́ете
3rd Pl,расцвета́ют
Past M,расцвета́л
Past F,расцвета́ла
Past N,расцвета́ло
Past PL,расцвета́ли
Imp S,расцвета́й
Imp PL,расцвета́йте
