Infinitive,разобщи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разобщи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разобщённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разобщи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разобщи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разобщу́
2nd Sing,разобщи́шь
3rd Sing,разобщи́т
1st Pl,разобщи́м
2nd Pl,разобщи́те
3rd Pl,разобща́т
Past M,разобщи́л
Past F,разобщи́ла
Past N,разобщи́ло
Past PL,разобщи́ли
Imp S,разобщи́
Imp PL,разобщи́те
