Infinitive,разнести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разнёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разнесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разнеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разнёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разнесу́
2nd Sing,разнесёшь
3rd Sing,разнесёт
1st Pl,разнесём
2nd Pl,разнесёте
3rd Pl,разнесу́т
Past M,разнёс
Past F,разнесла́
Past N,разнесло́
Past PL,разнесли́
Imp S,разнеси́
Imp PL,разнеси́те
