Infinitive,рассерди́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассерди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассе́рженный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассерди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,рассерди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рассержу́
2nd Sing,рассе́рдишь
3rd Sing,рассе́рдит
1st Pl,рассе́рдим
2nd Pl,рассе́рдите
3rd Pl,рассе́рдят
Past M,рассерди́л
Past F,рассерди́ла
Past N,рассерди́ло
Past PL,рассерди́ли
Imp S,рассерди́
Imp PL,рассерди́те
