Infinitive,раста́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,раста́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раста́яв
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,раста́явши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,раста́ю
2nd Sing,раста́ешь
3rd Sing,раста́ет
1st Pl,раста́ем
2nd Pl,раста́ете
3rd Pl,раста́ют
Past M,раста́ял
Past F,раста́яла
Past N,раста́яло
Past PL,раста́яли
Imp S,раста́й
Imp PL,раста́йте
