Infinitive,разъезжа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,разъезжа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разъезжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разъезжа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разъезжа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,разъезжа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,разъезжа́ю
2nd Sing,разъезжа́ешь
3rd Sing,разъезжа́ет
1st Pl,разъезжа́ем
2nd Pl,разъезжа́ете
3rd Pl,разъезжа́ют
Past M,разъезжа́л
Past F,разъезжа́ла
Past N,разъезжа́ло
Past PL,разъезжа́ли
Imp S,разъезжа́й
Imp PL,разъезжа́йте
