Infinitive,различа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,различа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,различа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,различа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,различа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,различа́юсь
2nd Sing,различа́ешься
3rd Sing,различа́ется
1st Pl,различа́емся
2nd Pl,различа́етесь
3rd Pl,различа́ются
Past M,различа́лся
Past F,различа́лась
Past N,различа́лось
Past PL,различа́лись
Imp S,различа́йся
Imp PL,различа́йтесь
