Infinitive,распоряди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распоряди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распоряди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распоряжу́сь
2nd Sing,распоряди́шься
3rd Sing,распоряди́тся
1st Pl,распоряди́мся
2nd Pl,распоряди́тесь
3rd Pl,распорядя́тся
Past M,распоряди́лся
Past F,распоряди́лась
Past N,распоряди́лось
Past PL,распоряди́лись
Imp S,распоряди́сь
Imp PL,распоряди́тесь
