Infinitive,размя́ться
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,размя́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,размя́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разомну́сь
2nd Sing,разомнёшься
3rd Sing,разомнётся
1st Pl,разомнёмся
2nd Pl,разомнётесь
3rd Pl,разомну́тся
Past M,размя́лся
Past F,размя́лась
Past N,размя́лось
Past PL,размя́лись
Imp S,разомни́сь
Imp PL,разомни́тесь
