Infinitive,разозли́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разозли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разозлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разозли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разозли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разозлю́
2nd Sing,разозли́шь
3rd Sing,разозли́т
1st Pl,разозли́м
2nd Pl,разозли́те
3rd Pl,разозля́т
Past M,разозли́л
Past F,разозли́ла
Past N,разозли́ло
Past PL,разозли́ли
Imp S,разозли́
Imp PL,разозли́те
