Infinitive,разбежа́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разбежа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разбежа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разбегу́сь
2nd Sing,разбежи́шься
3rd Sing,разбежи́тся
1st Pl,разбежи́мся
2nd Pl,разбежи́тесь
3rd Pl,разбегу́тся
Past M,разбежа́лся
Past F,разбежа́лась
Past N,разбежа́лось
Past PL,разбежа́лись
Imp S,разбеги́сь
Imp PL,разбеги́тесь
