Infinitive,распласта́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распласта́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распласта́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распласта́юсь
2nd Sing,распласта́ешься
3rd Sing,распласта́ется
1st Pl,распласта́емся
2nd Pl,распласта́етесь
3rd Pl,распласта́ются
Past M,распласта́лся
Past F,распласта́лась
Past N,распласта́лось
Past PL,распласта́лись
Imp S,распласта́йся
Imp PL,распласта́йтесь
