Infinitive,разрасти́сь
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разро́сшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разро́сшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разрасту́сь
2nd Sing,разрастёшься
3rd Sing,разрастётся
1st Pl,разрастёмся
2nd Pl,разрастётесь
3rd Pl,разрасту́тся
Past M,разро́сся
Past F,разросла́сь
Past N,разросло́сь
Past PL,разросли́сь
Imp S,разрасти́сьrazrastísʹ
Imp PL,разрасти́тесь
