Infinitive,расплоди́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расплоди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расплоди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распложу́сь
2nd Sing,расплоди́шься
3rd Sing,расплоди́тся
1st Pl,расплоди́мся
2nd Pl,расплоди́тесь
3rd Pl,расплодя́тся
Past M,расплоди́лся
Past F,расплоди́лась
Past N,расплоди́лось
Past PL,расплоди́лись
Imp S,расплоди́сь
Imp PL,расплоди́тесь
