Infinitive,разда́ть
Zaliznyak Class,irreg-b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ро́зданный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разда́м
2nd Sing,разда́шь
3rd Sing,разда́ст
1st Pl,раздади́м
2nd Pl,раздади́те
3rd Pl,раздаду́т
Past M,ро́здал
Past F,раздала́
Past N,ро́здало
Past PL,ро́здали
Imp S,разда́й
Imp PL,разда́йте
