Infinitive,размечта́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,размечта́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,размечта́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,размечта́юсь
2nd Sing,размечта́ешься
3rd Sing,размечта́ется
1st Pl,размечта́емся
2nd Pl,размечта́етесь
3rd Pl,размечта́ются
Past M,размечта́лся
Past F,размечта́лась
Past N,размечта́лось
Past PL,размечта́лись
Imp S,размечта́йся
Imp PL,размечта́йтесь
