Infinitive,разъединя́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разъединя́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разъединя́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разъединя́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разъединя́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,разъединя́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,разъединя́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,разъединя́ю
2nd Sing,разъединя́ешь
3rd Sing,разъединя́ет
1st Pl,разъединя́ем
2nd Pl,разъединя́ете
3rd Pl,разъединя́ют
Past M,разъединя́л
Past F,разъединя́ла
Past N,разъединя́ло
Past PL,разъединя́ли
Imp S,разъединя́й
Imp PL,разъединя́йте
