Infinitive,раска́лываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раска́лывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раска́лывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раска́лываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раска́лывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раска́лываюсь
2nd Sing,раска́лываешься
3rd Sing,раска́лывается
1st Pl,раска́лываемся
2nd Pl,раска́лываетесь
3rd Pl,раска́лываются
Past M,раска́лывался
Past F,раска́лывалась
Past N,раска́лывалось
Past PL,раска́лывались
Imp S,раска́лывайся
Imp PL,раска́лывайтесь
