Infinitive,раската́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раската́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раска́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раската́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раската́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раската́ю
2nd Sing,раската́ешь
3rd Sing,раската́ет
1st Pl,раската́ем
2nd Pl,раската́ете
3rd Pl,раската́ют
Past M,раската́л
Past F,раската́ла
Past N,раската́ло
Past PL,раската́ли
Imp S,раската́й
Imp PL,раската́йте
