Infinitive,рассели́ть
Zaliznyak Class,4b // 4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расселённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,рассели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расселю́
2nd Sing,рассели́шь
3rd Sing,рассели́т
1st Pl,рассели́м
2nd Pl,рассели́те
3rd Pl,расселя́т
Past M,рассели́л
Past F,рассели́ла
Past N,рассели́ло
Past PL,рассели́ли
Imp S,рассели́
Imp PL,рассели́те
