Infinitive,разня́ть
Zaliznyak Class,14c/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разня́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ро́знятый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,разня́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,разня́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,разниму́
2nd Sing,разни́мешь
3rd Sing,разни́мет
1st Pl,разни́мем
2nd Pl,разни́мете
3rd Pl,разни́мут
Past M,разня́л
Past F,разняла́
Past N,разня́ло
Past PL,разня́ли
Imp S,разними́
Imp PL,разними́те
