Infinitive,расстра́иваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расстра́ивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расстра́ивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расстра́иваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расстра́ивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расстра́иваюсь
2nd Sing,расстра́иваешься
3rd Sing,расстра́ивается
1st Pl,расстра́иваемся
2nd Pl,расстра́иваетесь
3rd Pl,расстра́иваются
Past M,расстра́ивался
Past F,расстра́ивалась
Past N,расстра́ивалось
Past PL,расстра́ивались
Imp S,расстра́ивайся
Imp PL,расстра́ивайтесь
