Infinitive,разговори́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разговори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разговори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разговорю́сь
2nd Sing,разговори́шься
3rd Sing,разговори́тся
1st Pl,разговори́мся
2nd Pl,разговори́тесь
3rd Pl,разговоря́тся
Past M,разговори́лся
Past F,разговори́лась
Past N,разговори́лось
Past PL,разговори́лись
Imp S,разговори́сь
Imp PL,разговори́тесь
