Infinitive,расши́риться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расши́рившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расши́рившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,расши́рюсь
2nd Sing,расши́ришься
3rd Sing,расши́рится
1st Pl,расши́римся
2nd Pl,расши́ритесь
3rd Pl,расши́рятся
Past M,расши́рился
Past F,расши́рилась
Past N,расши́рилось
Past PL,расши́рились
Imp S,расши́рься
Imp PL,расши́рьтесь
