Infinitive,рапортова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,рапорту́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рапортова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рапорту́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рапортова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,рапортова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,рапорту́ю
2nd Sing,рапорту́ешь
3rd Sing,рапорту́ет
1st Pl,рапорту́ем
2nd Pl,рапорту́ете
3rd Pl,рапорту́ют
Past M,рапортова́л
Past F,рапортова́ла
Past N,рапортова́ло
Past PL,рапортова́ли
Imp S,рапорту́й
Imp PL,рапорту́йте
