Infinitive,раста́лкивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раста́лкивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раста́лкивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раста́лкиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раста́лкивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,раста́лкивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,раста́лкивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,раста́лкиваю
2nd Sing,раста́лкиваешь
3rd Sing,раста́лкивает
1st Pl,раста́лкиваем
2nd Pl,раста́лкиваете
3rd Pl,раста́лкивают
Past M,раста́лкивал
Past F,раста́лкивала
Past N,раста́лкивало
Past PL,раста́лкивали
Imp S,раста́лкивай
Imp PL,раста́лкивайте
