Infinitive,расчеса́ть
Zaliznyak Class,6c(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расчеса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расчёсанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расчеса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расчеса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расчешу́
2nd Sing,расче́шешь
3rd Sing,расче́шет
1st Pl,расче́шем
2nd Pl,расче́шете
3rd Pl,расче́шут
Past M,расчеса́л
Past F,расчеса́ла
Past N,расчеса́ло
Past PL,расчеса́ли
Imp S,расчеши́
Imp PL,расчеши́те
